goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
12803004,新编中国哲学史（增订本套装全三卷共4册）[TheNewHistoryofChinesePhilosophy],哲学,劳思光 著,1711,198.00,155.90,生活.读书.新知三联书店,5000+,0.99,2019-12-01
11836425,稻盛和夫京瓷哲学：人生与经营的原点,哲学,[日] 稻盛和夫 著 周征文 译,unknown,89.00,69.80,东方出版社,20万+,0.99,2015-10-01
12253425,周易（精装全注全译版）,哲学,任宪宝 著,239,26.00,20.00,吉林文史出版社,2万+,0.98,2016-10-01
61823730814,南怀瑾著述易经杂说+易经系传别讲套装全2册南怀瑾著作复旦大学出版社书籍,哲学,南怀瑾 著 著,unknown,84.80,56.80,复旦大学出版社,1000+,0.99,unknown
12511140,臣服实验（奴隶社会李一诺推荐）,哲学,[美] 迈克·A.辛格 著,284,45.00,45.00,南京大学出版社,5000+,0.99,2019-01-01
10030118242927,抖音同款全6册谋事先谋人做人要精明做事要高明做人要有心机做事要有手腕正版谋略人生哲学处世智慧经商书籍谋事先谋人6册,哲学,,unknown,96.80,39.80,中国三峡出版社,200+,1.0,unknown
68682758112,张志春3册套装神奇之门开悟之门未知之门奇门遁甲入门书籍正版,哲学,,unknown,100.00,82.00,中国商业出版社,1000+,0.99,unknown
10026295220567,全4册尼采作品集西方哲学经典书籍正版原著中文查拉图斯特拉如是说权力意志悲剧的诞生尼采自传快乐的知识,哲学,,unknown,235.00,69.80,哈尔滨出版社,200+,0.97,unknown
12555248,周易译注（套装全2册）,哲学,黄寿祺 张善文 译,514,68.00,68.00,上海古籍出版社,1万+,0.98,2019-03-01
12424197882,思想的力量西方哲学史入门书后浪,哲学,[美] 布鲁克·诺埃尔·穆尔 著 李宏昀 倪佳 译,616,99.80,49.90,北京联合出版公司,200+,1.0,2017-03-01
11515622,南怀瑾：老子他说（初续合集）（套装上下册）,哲学,南怀瑾 著,888,88.00,87.10,东方出版社,2万+,0.99,2014-08-01
71915700234,Python编程从入门到实践第2版(图灵出品)人民邮电出版社书籍,编程,[美] 埃里克·马瑟斯 著 袁国忠 译,459,89.00,45.50,人民邮电出版社,500+,0.97,unknown
13130374,C++标准库（第2版）(博文视点出品),编程,Nicolai M. Josuttis（尼古拉?约祖蒂斯） 著 侯捷 译,1128,228.00,228.00,电子工业出版社,10万+,0.98,2021-02-01
12741343,父与子的编程之旅与小卡特一起学Python第3版（全彩印刷）,编程,[美] 沃伦·桑德（Warren Sande） 著 杨文其 苏金国 易郑超 译,411,119.00,79.80,人民邮电出版社,1万+,0.99,2020-10-01
12954882,代码大全2（英文限量珍藏版）,编程,[美] 史蒂夫·麦康奈尔（Steve McConnell） 著,964,127.00,87.60,清华大学出版社,1000+,0.99,2020-07-01
27158602444,包邮算法导论原书第3版中文版算法圣经教材计算机科学书籍3021144,编程,美 Thomas H Cormen C 著 殷建平 徐云 王刚 译,780,128.00,64.00,机械工业出版社,1000+,0.98,2013-01-01
71174979226,C++PrimerPlus(第6版)中文版,编程,[美] 史蒂芬·普拉达 著,unknown,118.00,63.49,人民邮电出版社,500+,0.97,2020-07-01
67491307366,【配套视频】从入门到实践：C++Python编程从入门到精通程序设计电脑编程Python编程书籍零基础C++从入门到精通,编程,零壹快学 著,484,89.00,37.40,广东人民出版社,500+,0.95,2020-03-31
12453318,Docker技术入门与实战（第3版）,编程,杨保华 戴王剑 曹亚仑 著,412,89.00,58.70,机械工业出版社,2万+,0.99,2018-09-01
12567310,数据可视化（第2版）(博文视点出品),编程,陈为 等 著,756,259.00,259.00,电子工业出版社,2000+,0.98,2019-03-01
12875074,DK编程真好玩（全2册）（爱心树童书）[7-10岁 11-14岁 学校推荐书目],编程,[英] 克雷格•斯蒂尔（英）乔恩•伍德科克 等 著 余宙华 译,444,226.00,226.00,南海出版公司,2万+,0.99,2020-05-01
10031170154863,全新正版Python编程从入门到实践第2版图灵出品计算机与互联网编程人民邮电出版社,编程,[美] 埃里克·马瑟斯（Eric Matthes） 著 袁国忠 译,unknown,109.80,45.00,人民邮电出版社,100+,0.94,2020-09-30
13293428,Python机器学习（原书第3版）,编程,[美] 塞巴斯蒂安·拉施卡（Sebastian Raschka） 著 陈斌 译,462,149.00,98.30,机械工业出版社,2万+,0.98,2021-06-01
12719152,C#从入门到精通（第5版）/软件开发视频大讲堂,编程,明日科技 编,608,79.80,59.00,清华大学出版社,2000+,0.95,2019-10-01
13145662,让工作化繁为简：用Python实现办公自动化,编程,李杰臣 著,304,79.80,55.00,机械工业出版社,500+,0.97,2021-03-01
12503632,计算机视觉：算法与应用（附配套用书）[ComputerVision：AlgorithmsandApplications],编程,Richard Szeliski 艾海舟 著 艾海舟 兴军亮 等 译,665,139.00,102.70,清华大学出版社,2000+,0.98,2011-12-01
12794850,MATLAB从入门到实战/科学与工程计算技术丛书[MATLABFromIntroductiontoPractice],编程,李晓东 著,599,119.00,80.90,清华大学出版社,2万+,0.98,2019-12-01
12920392,Go专家编程(博文视点出品),编程,任洪彩 著,404,108.00,108.00,电子工业出版社,1万+,0.98,2020-07-01
12501971,Scratch3.0少儿游戏趣味编程(异步图书出品),编程,李强 李若瑜 著,260,69.00,69.00,人民邮电出版社,2万+,0.99,2019-04-01
12746692,C程序设计语言典藏版套装（套装共2册讲义+习题解答）,编程,[美] 布莱恩·W.克尼汉（Brian W.Kernighan） 著 徐宝文 李志 杨涛 译 尤晋元 校,391,108.00,71.30,机械工业出版社,2万+,0.98,2019-10-01
1710941317,【清华】C语言从入门到精通(第4版)c语言程序设计电脑编程入门零基础自学c++软件教程教材书籍,编程,明日科技 著,unknown,69.80,26.50,清华大学出版社,2000+,0.97,2017-01-01
12724458,编程珠玑第2版(异步图书出品),编程,[美] 乔恩·本特利（Jon Bentley） 著 黄倩 钱丽艳 译,266,59.00,59.00,人民邮电出版社,10万+,0.99,2019-10-01
12513833,Qt5开发及实例（第4版）（含典型案例视频分析）,编程,陆文周 著,764,129.00,129.00,电子工业出版社,1万+,0.97,2019-03-01
12573534,零基础入门学习C语言：带你学C带你飞（微课视频版）,编程,小甲鱼 著,364,79.00,58.40,清华大学出版社,5000+,0.97,2019-05-01
12791368,Java核心技术卷II高级特性（原书第11版）[CoreJavaVolumeII-AdvancedFeatures（11Edition）],编程,[美] 凯·S.霍斯特曼（Cay S.Horstmann） 著 陈昊鹏 译,682,149.00,98.30,机械工业出版社,10万+,0.98,2020-01-01
10922250,华章专业开发者丛书·Java并发编程实战[JavaConcurrencyinPractice],编程,[美] Brian Goetz 等 著 童云兰 等 译,312,69.00,45.50,机械工业出版社,10万+,0.98,2012-02-01
12501971,Scratch3.0少儿游戏趣味编程(异步图书出品),编程,李强 李若瑜 著,260,69.00,69.00,人民邮电出版社,2万+,0.99,2019-04-01
57806278912,鸿蒙应用开发实战华为国产操作系统HarmonyOSIoT设备开发实战JavaScript编程,编程,,unknown,158.00,92.00,人民邮电出版社,100+,0.95,unknown
12602672,Java从入门到项目实战（全程视频版）编程入门/IT计算机书籍,编程,李兴华 著,unknown,99.80,99.80,中国水利水电出版社,2万+,0.98,2019-06-01
12749353,C#8.0和.NETCore3.0高级编程,编程,[英] 马克·J.普赖斯（Mark J. Price） 著 王莉莉 译,unknown,128.00,88.30,清华大学出版社,2万+,0.96,2020-11-01
13304706,因果推理：基础与学习算法,编程,[荷] 乔纳斯 彼得斯（Jonas Peters） [德] 多米尼克 著,unknown,89.00,89.00,机械工业出版社,70,0.88,2021-07-01
12832972,【程序员小灰】漫画算法：小灰的算法之旅(Python篇)（全彩）(博文视点出品),编程,魏梦舒（@程序员小灰） 著,268,79.00,79.00,电子工业出版社,10万+,0.99,2020-04-01
12656539,编程入门三剑客：Python+Java+C语言全程视频版（套装共3册）,编程,李兴华 等 著,unknown,299.40,299.40,中国水利水电出版社,2万+,0.98,2020-05-01
12234196,OpenGL编程指南（原书第9版）,编程,[美] 约翰·M·克赛尼希 格雷厄姆·塞勒斯 戴夫·施莱尔 著 王锐 译,664,139.00,91.70,机械工业出版社,1万+,0.99,2017-08-01
